product_name,ingredients_text,serving_size
Banana Chips Sweetened (Whole),"Bananas, vegetable oil (coconut oil, corn oil and/or palm oil) sugar, natural banana flavor.",28 g (1 ONZ)
Organic Salted Nut Mix,"Organic hazelnuts, organic cashews, organic walnuts almonds, organic sunflower oil, sea salt.",28 g (0.25 cup)
Breadshop Honey Gone Nuts Granola,"Rolled oats, grape concentrate, expeller pressed canola oil, sunflower seeds, almonds, walnuts oat bran, sesame seeds, cashews, natural vitamin e.",52 g (0.5 cup)
Organic Long Grain White Rice,Organic long grain white rice,45 g (0.25 cup)
Organic Dark Chocolate Minis,"Organic chocolate liquor, organic raw cane sugar, organic cocoa butter, organic unrefined whole cane sugar, organic ground vanilla beans.",40 g (40 g)
Organic Sunflower Oil,"Organic expeller pressed, refined high oleic sunflower oil",14 g (1 Tbsp)
Organic Penne Pasta,Organic refined durum semolina wheat flour,57 g (0.5 cup)
Organic Spicy Punks,"Organic dry roasted pumpkin seeds, tamari (soybeans, water and salt), garlic and cayenne.",33 g (0.25 cup)
Cinnamon Nut Granola,"Organic rolled oats, honey, raisins, almonds, sunflower seeds, walnuts, wheat germ, unrefined expeller-pressed safflower oil, molasses, cinnamon",55 g (0.5 cup)
Organic Sweetened Banana Chips,"Organic bananas, organic coconut oil, organic sugar",30 g (0.25 cup)
Real Salt Granular,Ancient sea salt with natural trace minerals,1.4 g (0.25 tsp)
Roasted Salted Black Pepper Cashews,"Whole cashews, sunflower oil, salt, black pepper",30 g (30 g)
Thai Curry Roasted Cashews,"Cashews, curry seasoning (salt, maltodextrin, spices, torula yeast, onion, garlic, turmeric, extractives of spice and natural flavor), canola oil.",30 g (30 g)
Organic Whole Grain Emmer Farro,Bluebird grain organic grain emmer farro,47 g (0.25 cup)
Organic Hard Red Wheat Berries,Organic hard red wheat berries.,47 g (0.25 cup)
Divinely Organic Granola,"Organic rolled oats, organic rolled rye, organic brown rice syrup, organic walnuts, organic raisins, organic safflower oil, spices.",55 g (0.5 cup)
Organic Small Red Chili Beans,"High fiber, low fat, vegetable nourishment.",36 g (0.25 cup)
Organic Dark Red Kidney Bean,Organic dark red kidney bean,46 g (0.25 cup)
Rebel Crunch Granola,"Rolled oats, dates (may contain date pits), sunflower seeds and sesame seeds",56 g (0.5 cup)
Organic Mixed Vegetable Spirals,"Organic semolina flour, organic spinach powder, organic tomato powder.",57 g (0.5 cup)
Organic Couscous,"Refined enriched durum semolina wheat, thiamine, riboflavin, niacin and iron",45 g (0.25 cup)
Orzo Rosa Marina,"Refined, enriched durum semolina wheat flour, thiamine, riboflavin, niacin, iron, folic acid",58 g (0.5 cup)
Fine Sea Salt,New zealand sea salt with natural trace elements.,1.5 g (0.25 tsp)
Organic Refined Unbleached White Flour,"Organic refined wheat flour (niacin, iron, thiamin mononitrate, riboflavin and folic acid).",30 g (0.25 cup)
Organic Whole Brown Rice Flour,Organic whole brown rice flour,31 g (0.25 cup)
Organic Whole Spelt Flour,Organic whole grain spelt flour,34 g (0.25 cup)
Organic Medium Whole Wheat Flour,Organic whole grain hard red wheat flour,35 g (0.25 cup)
Organic Soft Whole Wheat Pastry Flour,Organic soft white wheat flour.,28 g (0.25 cup)
"Peanuts, Mixed Nuts","Peanuts, honey, coating (sucrose, wheat starch, honey, maltodextrin, xanthan gum), non gmo canola oil, sugar, salt.",28 g (0.25 cup)
Organic Brown Sesame Seeds,Organic sesame seed with hulls,36 g (0.25 cup)
Almonds Hickory-Smoked,"Almonds, salt, corn starch,hydrolyzed corn protein, natural smoke flavor, torula yeast, spices, extractives, and expeller pressed sunflower oil.",28 g (1 oz)
"Foods, Spanish Peanuts","Spanish peanuts, expeller pressed high monounsaturated safflower and/or sunflower oil, salt",28 g (0.25 cup)
"Foods, Honey Roasted Nut Mix","Peanuts, almonds, cashews, pecans, sucrose, honey, wheat starch, expeller pressed high monounsaturated safflower and/or sunflower oil, maltodextrin, lactose, salt",28 g (0.25 cup)
Roasted Salted Sunflower Seeds,"Sunflower kernels, coconut oil, salt",28 g (0.25 cup)
"Foods, Deluxe Nut Mix","Cashews, almonds, hazelnuts, pecans, brazil nuts, expeller pressed, high monosaturated safflower and/or sunflower oil, salt.",28 g (0.25 cup)
Organic Extra Virgin Olive Oil,100% cold pressed unrefined oil from the first pressing of organic olives.,14 ml (1 Tbsp)
Liquid Aminos,"Water, bragg's formulated soy protein",2.5 ml (0.5 tsp)
Organic Canola Oil Refined,Organic expeller pressed refined canola oil,14 ml (1 Tbsp)
Curry Lentil Soup Mix,"Precooked lentils, salt, curry spices and herbs, onions, garlic.",52 g (0.5 cup)
Split Pea Soup Mix,"Precooked green split peas, carrots, salt, onion, garlic, herbs and spices",70 g (0.75 cup)
Organic Tamari Pumpkin Seed,"Organic pumpkin seeds, organic wheat free tamari, seasoning (water, whole soybeans, salt, sea salt)",34 g (0.25 cup)
Multigrain Cereal Flakes,"Red wheat flakes, white wheat flakes, barley flakes, rye flakes, rolled oats, sunflower seeds.",38 g (38 g)
8-Grain Wheat Free Cereal,"Whole grain corn, oats, brown rice, soybeans, oat bran, millet, barley, sunflower seeds and flax seeds",40 g (0.25 cup)
